iteration,log loss,train result,test result
1,0.161809,0.078325,0.261037
2,0.157957,0.111010,0.367505
3,0.154501,0.143112,0.412184
4,0.151823,0.157000,0.453441
5,0.149450,0.170423,0.476817
6,0.147642,0.181213,0.492529
7,0.146339,0.189395,0.504964
8,0.145456,0.199685,0.512965
9,0.145011,0.207129,0.523569
10,0.144278,0.217115,0.526991
11,0.143866,0.222608,0.534943
12,0.143638,0.228682,0.541161
13,0.143387,0.235077,0.545257
14,0.142985,0.240007,0.551957
15,0.142642,0.245087,0.556343
16,0.142315,0.251241,0.559668
17,0.142185,0.254213,0.563524
18,0.142130,0.257087,0.568730
19,0.141778,0.260175,0.571043
20,0.141715,0.263140,0.574610
21,0.141422,0.266245,0.576586
22,0.141381,0.268521,0.578224
23,0.141287,0.271472,0.578610
24,0.141085,0.274245,0.582900
25,0.141000,0.277559,0.586032
26,0.141075,0.278070,0.584538
27,0.140787,0.282101,0.588731
28,0.140817,0.286052,0.587912
29,0.140264,0.293923,0.592635
30,0.140363,0.299955,0.596202
31,0.139852,0.306168,0.599094
32,0.139589,0.309755,0.602082
33,0.139564,0.313469,0.606227
34,0.139559,0.313217,0.606613
35,0.139128,0.319833,0.610806
36,0.139138,0.319953,0.612541
37,0.139095,0.325007,0.615240
38,0.138918,0.328227,0.617313
39,0.138838,0.326773,0.616541
40,0.138813,0.327783,0.619867
41,0.138721,0.331391,0.621120
42,0.138545,0.331465,0.622518
43,0.138677,0.333950,0.623048
44,0.138413,0.333057,0.622662
45,0.138470,0.339217,0.627434
46,0.138643,0.337806,0.627386
47,0.138375,0.336441,0.627868
48,0.138290,0.337358,0.629121
49,0.138503,0.341813,0.630470
50,0.138263,0.339776,0.630181
51,0.138042,0.337462,0.620638
52,0.136850,0.354334,0.632495
53,0.136745,0.362221,0.637025
54,0.136836,0.365268,0.640495
55,0.136684,0.367552,0.640303
56,0.136588,0.365177,0.642954
57,0.136483,0.368107,0.644833
58,0.136404,0.371418,0.644689
59,0.136435,0.371829,0.646617
60,0.136413,0.371572,0.648496
61,0.136472,0.373355,0.648448
62,0.136248,0.374876,0.647291
63,0.136179,0.375385,0.646713
64,0.136289,0.374388,0.648111
